,Location,new_reviews,Comp
199,Miami,horrible service tight space poor condition ac function read read less,Negative
200,London,room small appreciate staff deal customer time year busy be not helpful request change room change room 2 time one move smelly luggage storage cost 5 per case money suck pay service really complimentary read read less,Neutral
201,N.Y.,super helpful staff convenient attraction read read less,Positive
202,New Jersey,pay breakfast room 15 year old son book everything expedia receive 7 voucher say pay 1 guest disappointed pay provide 2 voucher day son could eat breakfast every morning never use pool amenity charge approximately 30 day do not need wifi pool lovely hotel though staff polite friendly professional nake everyone feel welcome love staff gatorville read read less,Positive
203,Maryland has,nan,Neutral
204,Sacramento CA. 95838,nothing nothing else say ok nothing special read read less,Neutral
205,Coconut creek,properry within walming distance shop restaurant property outdate amenity nonexistant reason resort fee nothing provide internet extremely slow ground dirty ugly dead flower dirty paver nothing say wow dissappointe property much potential read read less,Negative
206,Baltimore,great roomfair price close everything see nyc read read less,Positive
207,"Miami Beach, Florida",never life go hotel able check till 5 p.m. room be not ready line check horribly long enough people work room bottom floor corner view dumpster room enough outlet charge phone device outlet odd place read read less,Negative
208,Chicago,ground beautiful pool nice staff great close lot restaurant walgreens starbuck room okay like picture read read less,Positive
209,South Miami,check quick walk sky ridge disney speing read read less,Neutral
210,Seattle,clean nice staff comfortable bed good location read read less,Positive
211,Montreal,gross feel dirty stay facade building exceptional however interior need serious facelift read read less,Negative
212,Glasgow,super clean great staff great location do not anything bad say new yorker place stay whilst ny read read less,Positive
213,Marrakech,great property guest service staff especially samira helful read read less,Positive
214,Amesbury,breakfast excellent room tini tiny parking situation weird read read less,Neutral
215,Belfast Northern Ireland,staff helpful friendly give free room upgrade discount facilitation fee also able check early normal lovely old time classy hotel full history modern amenity comfy bed side noise traffic hey central new york bring ear plug turn air con sirens horn new yorkers seem love use excess n great city friendly helpful people get book enjoy read read less,Positive
216,"Indianapolis, IN",plenty option activity family do not include park trip stand alone fun read read less,Neutral
217,Ohio,close disney next disney spring work great -PRON- read read less,Positive
218,"Brooklyn, NY",beautiful resort see firework every night read read less,Positive
219,Tampa,like staff friendly property whole lovely really like fact able spend time wyndham vacation property enjoy lazy river facility return read read less,Positive
